timeInMillies;delay;received;axisA;axisB
1565436982527 ;140 ;0 ;0.0 ;0.0
1565436982578 ;51 ;0 ;0.0 ;0.0
1565436982606 ;28 ;0 ;0.0 ;0.0
1565436982618 ;12 ;0 ;0.0 ;0.0
1565436982639 ;21 ;0 ;0.0 ;0.0
1565436982658 ;19 ;0 ;0.0 ;0.0
1565436982686 ;28 ;0 ;0.0 ;0.0
1565436982766 ;80 ;170314 ;2128.925 ;112.04868421052633
1565436982770 ;4 ;0 ;0.0 ;106.44625
1565436982798 ;28 ;0 ;0.0 ;101.12393750000001
1565436982810 ;12 ;0 ;0.0 ;96.06774062500001
1565436982830 ;20 ;0 ;0.0 ;91.26435359375002
1565436982851 ;21 ;0 ;0.0 ;86.70113591406252
1565436982871 ;20 ;201401 ;10070.05 ;612.3687106973067
1565436982891 ;20 ;0 ;0.0 ;581.7502751624413
1565436982911 ;20 ;0 ;0.0 ;552.6627614043193
1565436982931 ;20 ;0 ;0.0 ;525.0296233341033
1565436982951 ;20 ;0 ;0.0 ;498.7781421673982
1565436982971 ;20 ;100217 ;5010.85 ;737.5681824274493
1565436982992 ;21 ;0 ;0.0 ;700.6897733060769
1565436983012 ;20 ;0 ;0.0 ;665.6552846407731
1565436983032 ;20 ;0 ;0.0 ;632.3725204087344
1565436983053 ;21 ;0 ;0.0 ;600.7538943882977
1565436983073 ;20 ;100153 ;5007.65 ;834.2767259846723
1565436983100 ;27 ;0 ;0.0 ;792.5628896854387
1565436983114 ;14 ;0 ;0.0 ;752.9347452011667
1565436983134 ;20 ;0 ;0.0 ;715.2880079411084
1565436983155 ;21 ;0 ;0.0 ;679.523607544053
1565436983180 ;25 ;100181 ;4007.24 ;856.4547955879029
1565436983196 ;16 ;0 ;0.0 ;813.6320558085079
1565436983223 ;27 ;0 ;0.0 ;772.9504530180825
1565436983237 ;14 ;0 ;0.0 ;734.3029303671784
1565436983257 ;20 ;0 ;0.0 ;697.5877838488195
1565436983277 ;20 ;100165 ;5008.25 ;926.3004999195365
1565436983297 ;20 ;0 ;0.0 ;879.9854749235598
1565436983320 ;23 ;0 ;0.0 ;835.9862011773818
1565436983338 ;18 ;0 ;0.0 ;794.1868911185127
1565436983358 ;20 ;0 ;0.0 ;754.477546562587
1565436983378 ;20 ;100183 ;5009.15 ;980.3931429186682
1565436983400 ;22 ;0 ;0.0 ;931.3734857727347
1565436983421 ;21 ;0 ;0.0 ;884.804811484098
1565436983449 ;28 ;0 ;0.0 ;840.5645709098932
1565436983468 ;19 ;0 ;0.0 ;798.5363423643985
1565436983488 ;20 ;100270 ;5013.5 ;1022.4779462988101
1565436983513 ;25 ;0 ;0.0 ;971.3540489838697
1565436983528 ;15 ;0 ;0.0 ;922.7863465346761
1565436983549 ;21 ;0 ;0.0 ;876.6470292079423
1565436983582 ;33 ;0 ;0.0 ;832.8146777475451
1565436983588 ;6 ;100194 ;16699.0 ;1670.068680702273
