t;cos;sin;tan;sqr
1;0,9950041653;0,0768472383;0,0452583253;1
2;0,9800665778;0,1532399835;0,044577974;4
3;0,9553364891;0,2287264302;0,0434517013;9
4;0,921060994;0,3028601333;0,0418908871;16
5;0,8775825619;0,375202648;0,0399112879;25
6;0,8253356149;0,4453261233;0,0375328647;36
7;0,7648421873;0,5128158319;0,0347795671;49
8;0,6967067093;0,5772726232;0,0316790777;64
9;0,6216099683;0,6383152842;0,02826252;81
10;0,5403023059;0,6955827937;0,0245641346;100
11;0,4535961214;0,7487364579;0,0206209276;121
12;0,3623577545;0,797461913;0,0164722966;144
13;0,2674988286;0,8414709848;0,0121596369;169
14;0,1699671429;0,8805033931;0,0077259329;196
15;0,0707372017;0,9143282907;0,0032153384;225
16;-0,0291995223;0,942745629;-0,0013272518;256
17;-0,1288444943;0,9655873409;-0,0058566349;289
18;-0,2272020947;0,982718335;-0,0103277351;324
19;-0,3232895669;0,9940372945;-0,0146960382;361
20;-0,4161468365;0,9994772763;-0,0189180217;400
21;-0,5048461046;0,9990061069;-0,022951579;441
22;-0,5885011173;0,9926265731;-0,0267564331;484
23;-0,6662760213;0,9803764049;-0,0302945363;529
24;-0,7373937155;0,9623280528;-0,0335304537;576
25;-0,8011436155;0,9385882592;-0,0364317243;625
26;-0,8568887534;0,9092974268;-0,038969197;676
27;-0,904072142;0,8746287889;-0,0411173363;729
28;-0,9422223407;0,8347873841;-0,0428544935;784
29;-0,9709581651;0,7900088442;-0,0441631402;841
30;-0,9899924966;0,7405580004;-0,0450300579;900

